edge_type_id target_query source_query target_sections dynamics_params model_template delay syn_weight distance_range
100 pop_name=='Exc' pop_name=='Exc' ['soma'] PING_ExcToExc.json exp2syn 0 0.0 "[0.0, 999.9]"
101 pop_name=='Inh' pop_name=='Exc' ['soma'] PING_ExcToInh.json exp2syn 0 0.00625 "[0.0, 999.9]"
102 pop_name=='Exc' pop_name=='Inh' ['soma'] PING_InhToExc.json exp2syn 0 0.025 "[0.0, 999.9]"
103 pop_name=='Inh' pop_name=='Inh' ['soma'] PING_InhToInh.json exp2syn 0 0.008 "[0.0, 999.9]"
